"magento->routers_match->CONTROLLER_ACTION:catalog_product_view->action_body->LAYOUT->layout_generate_blocks->Magento\Framework\View\Layout::Magento\Framework\View\Layout::generateElements->generate_elements->EVENT:magento_catalog_api_data_productinterface_load_after->OBSERVER:legacy_model_load->EVENT:catalog_product_load_after->OBSERVER:inventory->EVENT:abstract_search_result_load_after",0.006383,0.000199,32,"-9,160",0
"magento->routers_match->CONTROLLER_ACTION:catalog_product_view->action_body->LAYOUT->layout_generate_blocks->Magento\Framework\View\Layout::Magento\Framework\View\Layout::generateElements->generate_elements->EVENT:magento_catalog_api_data_productinterface_load_after->OBSERVER:legacy_model_load->EVENT:catalog_product_load_after->OBSERVER:inventory->EVENT:core_collection_abstract_load_before",0.002631,0.000219,12,"-2,728",0
"magento->routers_match->CONTROLLER_ACTION:catalog_product_view->action_body->LAYOUT->layout_generate_blocks->Magento\Framework\View\Layout::Magento\Framework\View\Layout::generateElements->generate_elements->EVENT:magento_catalog_api_data_productinterface_load_after->OBSERVER:legacy_model_load->EVENT:catalog_product_load_after->OBSERVER:inventory->EVENT:core_collection_abstract_load_after",0.002595,0.000216,12,"-2,728",0
"magento->routers_match->CONTROLLER_ACTION:catalog_product_view->action_body->LAYOUT->layout_generate_blocks->Magento\Framework\View\Layout::Magento\Framework\View\Layout::generateElements->generate_elements->EAV:load_collection",0.055342,0.027671,2,"17,792",0
"magento->routers_match->CONTROLLER_ACTION:catalog_product_view->action_body->LAYOUT->layout_generate_blocks->Magento\Framework\View\Layout::Magento\Framework\View\Layout::generateElements->generate_elements->EAV:load_collection->before_load",0.001511,0.000755,2,"3,448",0
"magento->routers_match->CONTROLLER_ACTION:catalog_product_view->action_body->LAYOUT->layout_generate_blocks->Magento\Framework\View\Layout::Magento\Framework\View\Layout::generateElements->generate_elements->EAV:load_collection->load_entities",0.050719,0.025360,2,"9,248",0
magento->routers_match->CONTROLLER_ACTION:catalog_product_view->action_body->LAYOUT->EVENT:layout_generate_blocks_after,0.415629,0.415629,1,"98,496",0
magento->routers_match->CONTROLLER_ACTION:catalog_product_view->action_body->LAYOUT->EVENT:layout_generate_blocks_after->OBSERVER:persistent,0.403111,0.403111,1,"5,200",0
magento->routers_match->CONTROLLER_ACTION:catalog_product_view->action_body->LAYOUT->EVENT:layout_generate_blocks_after->OBSERVER:ox_modify_blog_blocks,0.001295,0.001295,1,"2,608",0
magento->routers_match->CONTROLLER_ACTION:catalog_product_view->action_body->LAYOUT->EVENT:layout_generate_blocks_after->OBSERVER:temando_replace_order_info_template,0.002511,0.002511,1,"72,656",0
magento->routers_match->CONTROLLER_ACTION:catalog_product_view->action_body->LAYOUT->EVENT:layout_generate_blocks_after->OBSERVER:temando_replace_shipment_info_template,0.007369,0.007369,1,"16,544",0
magento->routers_match->CONTROLLER_ACTION:catalog_product_view->action_body->postdispatch,2.630837,2.630837,1,"6,544",0
magento->routers_match->CONTROLLER_ACTION:catalog_product_view->action_body->postdispatch->EVENT:controller_action_postdispatch,0.133656,0.133656,1,"3,608",0
magento->routers_match->CONTROLLER_ACTION:catalog_product_view->action_body->postdispatch->EVENT:controller_action_postdispatch->OBSERVER:customer_visitor,0.131489,0.131489,1,"2,096",0
magento->LAYOUT,"3,407.214267","3,407.214342",1,0,0
magento->LAYOUT->layout_render,"3,398.137681","3,398.137727",1,0,0
magento->LAYOUT->layout_render->EVENT:view_block_abstract_to_html_before,0.052184,0.001683,31,"24,064",0
magento->LAYOUT->layout_render->EVENT:view_block_abstract_to_html_before->OBSERVER:ox_to_html_before,0.038276,0.001235,31,"4,768",0
magento->LAYOUT->layout_render->TEMPLATE:/var/www/html/vendor/magento/module-theme/view/frontend/templates/page/js/require_js.phtml,0.012140,0.012140,1,"12,888",0
magento->LAYOUT->layout_render->EVENT:view_block_abstract_to_html_after,0.006138,0.000212,29,"-7,712",0
magento->LAYOUT->layout_render->cache_load,0.001190,0.000595,2,-72,0
magento->LAYOUT->layout_render->TEMPLATE:/var/www/html/vendor/magento/module-theme/view/frontend/templates/html/container.phtml,2.545409,2.545409,1,"2,241,672","2,097,152"
magento->LAYOUT->layout_render->TEMPLATE:/var/www/html/vendor/magento/module-theme/view/frontend/templates/html/container.phtml->EVENT:view_block_abstract_to_html_before,0.009633,0.001070,9,"7,032",0
magento->LAYOUT->layout_render->TEMPLATE:/var/www/html/vendor/magento/module-theme/view/frontend/templates/html/container.phtml->EVENT:view_block_abstract_to_html_before->OBSERVER:ox_to_html_before,0.006065,0.000674,9,"1,392",0
magento->LAYOUT->layout_render->TEMPLATE:/var/www/html/vendor/magento/module-theme/view/frontend/templates/html/container.phtml->TEMPLATE:/var/www/html/app/design/frontend/Olegnax/athlete2/Olegnax_Athlete2/templates/html/head.additional.phtml,0.022114,0.022114,1,"22,688",0
magento->LAYOUT->layout_render->TEMPLATE:/var/www/html/vendor/magento/module-theme/view/frontend/templates/html/container.phtml->EVENT:view_block_abstract_to_html_after,0.001711,0.000190,9,"-2,208",0
magento->LAYOUT->layout_render->TEMPLATE:/var/www/html/vendor/magento/module-theme/view/frontend/templates/html/container.phtml->EVENT:core_layout_render_element,0.021226,0.002358,9,"11,080",0
magento->LAYOUT->layout_render->TEMPLATE:/var/www/html/vendor/magento/module-theme/view/frontend/templates/html/container.phtml->EVENT:core_layout_render_element->OBSERVER:pagecache,0.017727,0.001970,9,"4,808",0
magento->LAYOUT->layout_render->TEMPLATE:/var/www/html/vendor/magento/module-theme/view/frontend/templates/html/container.phtml->TEMPLATE:/var/www/html/vendor/magento/module-google-analytics/view/frontend/templates/ga.phtml,0.004288,0.004288,1,"1,504",0
magento->LAYOUT->layout_render->TEMPLATE:/var/www/html/vendor/magento/module-theme/view/frontend/templates/html/container.phtml->TEMPLATE:/var/www/html/vendor/magento/google-shopping-ads/view/frontend/templates/verification.phtml,0.002649,0.002649,1,"2,160",0
magento->LAYOUT->layout_render->TEMPLATE:/var/www/html/vendor/magento/module-theme/view/frontend/templates/html/container.phtml->TEMPLATE:/var/www/html/vendor/magento/google-shopping-ads/view/frontend/templates/gtag_global.phtml,0.002519,0.002519,1,"2,128",0
magento->LAYOUT->layout_render->TEMPLATE:/var/www/html/vendor/magento/module-theme/view/frontend/templates/html/container.phtml->TEMPLATE:/var/www/html/app/code/Mirasvit/Core/view/frontend/templates/font_awesome.phtml,0.002128,0.002128,1,"1,088",0
magento->LAYOUT->layout_render->TEMPLATE:/var/www/html/vendor/magento/module-theme/view/frontend/templates/html/container.phtml->TEMPLATE:/var/www/html/app/code/Mirasvit/Core/view/frontend/templates/custom_css.phtml,0.002824,0.002824,1,912,0
magento->LAYOUT->layout_render->TEMPLATE:/var/www/html/vendor/magento/module-theme/view/frontend/templates/html/container.phtml->TEMPLATE:/var/www/html/app/code/Trustpilot/Reviews/view/frontend/templates/head/head.phtml,0.004726,0.004726,1,"4,304",0
